,count
CommonStockEquity,5744
TotalLiabilitiesNetMinorityInterest,5744
TotalAssets,5744
TangibleBookValue,5744
NetTangibleAssets,5744
StockholdersEquity,5744
TotalEquityGrossMinorityInterest,5743
OrdinarySharesNumber,5734
ShareIssued,5734
CashAndCashEquivalents,5719
CapitalStock,5702
CommonStock,5695
InvestedCapital,5660
TotalCapitalization,5660
TotalDebt,5564
RetainedEarnings,5538
Payables,5513
LongTermDebtAndCapitalLeaseObligation,5465
AccountsPayable,5422
NetPPE,5328
GrossPPE,5196
CashCashEquivalentsAndShortTermInvestments,5093
AdditionalPaidInCapital,5049
CurrentAssets,4990
TotalNonCurrentAssets,4990
TotalNonCurrentLiabilitiesNetMinorityInterest,4989
CurrentLiabilities,4988
WorkingCapital,4988
CurrentDebtAndCapitalLeaseObligation,4934
AccountsReceivable,4927
AccumulatedDepreciation,4895
OtherProperties,4708
GoodwillAndOtherIntangibleAssets,4629
LongTermDebt,4511
MachineryFurnitureEquipment,4462
PrepaidAssets,4344
OtherIntangibleAssets,4300
CapitalLeaseObligations,4273
OtherNonCurrentAssets,4211
LongTermCapitalLeaseObligation,4148
NetDebt,4135
CurrentDebt,4064
Receivables,3944
OtherCurrentAssets,3942
Properties,3936
OtherNonCurrentLiabilities,3902
PayablesAndAccruedExpenses,3795
Goodwill,3704
CurrentCapitalLeaseObligation,3675
TotalTaxPayable,3602
TreasurySharesNumber,3466
OtherCurrentLiabilities,3452
Inventory,3382
CurrentAccruedExpenses,3211
OtherReceivables,3171
GainsLossesNotAffectingRetainedEarnings,3069
GrossAccountsReceivable,3006
AllowanceForDoubtfulAccountsReceivable,2952
NonCurrentDeferredTaxesLiabilities,2912
OtherEquityAdjustments,2895
BuildingsAndImprovements,2854
ConstructionInProgress,2827
CashFinancial,2632
OtherShortTermInvestments,2563
PreferredStock,2545
MinorityInterest,2492
NonCurrentDeferredLiabilities,2441
LandAndImprovements,2354
NonCurrentDeferredTaxesAssets,2346
FinishedGoods,2343
PensionandOtherPostRetirementBenefitPlansCurrent,2342
CurrentDeferredLiabilities,2272
TaxesReceivable,2271
OtherPayable,2263
OtherCurrentBorrowings,2240
TreasuryStock,2204
CurrentDeferredRevenue,2189
RawMaterials,2158
InvestmentsAndAdvances,2157
InvestmentinFinancialAssets,2078
LongTermEquityInvestment,2046
Leases,1951
AvailableForSaleSecurities,1938
NonCurrentDeferredAssets,1829
WorkInProcess,1591
LongTermProvisions,1526
RestrictedCash,1512
NonCurrentPensionAndOtherPostretirementBenefitPlans,1473
DerivativeProductLiabilities,1419
OtherEquityInterest,1296
NonCurrentDeferredRevenue,1278
CashEquivalents,1262
IncomeTaxPayable,1236
AssetsHeldForSaleCurrent,1203
CurrentProvisions,1195
NonCurrentPrepaidAssets,1158
TradeandOtherPayablesNonCurrent,1080
InterestPayable,1030
HedgingAssetsCurrent,779
EmployeeBenefits,779
OtherInventories,759
InvestmentsinAssociatesatCost,757
CurrentDeferredAssets,753
FinancialAssets,741
LineOfCredit,680
CashCashEquivalentsAndFederalFundsSold,643
InventoriesAdjustmentsAllowances,629
PreferredSecuritiesOutsideStockEquity,613
PreferredStockEquity,611
InvestmentsInOtherVenturesUnderEquityMethod,542
DividendsPayable,522
DuetoRelatedPartiesCurrent,514
NonCurrentAccountsReceivable,509
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,500
HeldToMaturitySecurities,483
OtherInvestments,481
InvestmentProperties,479
CurrentNotesPayable,445
DuefromRelatedPartiesCurrent,385
DefinedPensionBenefit,371
PreferredSharesNumber,348
InvestmentsinJointVenturesatCost,347
NonCurrentAccruedExpenses,305
LiabilitiesHeldforSaleNonCurrent,302
NotesReceivable,288
ReceivablesAdjustmentsAllowances,287
InvestmentsinSubsidiariesatCost,285
NonCurrentNoteReceivables,258
CurrentDeferredTaxesAssets,255
FixedAssetsRevaluationReserve,216
LoansReceivable,198
AccruedInterestReceivable,174
ForeignCurrencyTranslationAdjustments,161
CommercialPaper,140
CurrentDeferredTaxesLiabilities,137
TradingSecurities,122
MinimumPensionLiabilities,98
DuefromRelatedPartiesNonCurrent,69
DuetoRelatedPartiesNonCurrent,68
UnrealizedGainLoss,67
TotalPartnershipCapital,59
LimitedPartnershipCapital,56
GeneralPartnershipCapital,30
RestrictedCommonStock,9
