,date,indicator,commodity_name,frequency,value,ingested_at,unit,affiliation,soruce,EntityType
0,2021-01-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,128.3332186462445,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
1,2021-02-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,131.8579468743433,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
2,2021-03-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,132.9859447934223,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
3,2021-04-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,137.1594045970482,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
4,2021-05-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,146.2148127128194,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
5,2021-06-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,144.375931793712,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
6,2021-07-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,144.8875992776625,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
7,2021-08-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,143.9205448744708,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
8,2021-09-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,142.1605220919505,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
9,2021-10-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,147.6590311910933,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
10,2021-11-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,147.0883353288983,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
11,2021-12-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,148.2073752001806,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
12,2022-01-01,LMICS,Low and Middle Income Commodity Index (World Bank),M,154.7520147395187,2026-04-10 08:34:44.612743,Index,commodity_index,InternationalMonetaryFund,Commodity
